CommonName,Species,Genus,Family,Order,Subclass
Black Four-eyed Opossum,Philander_nigratus,Philander,Didelphidae,Didelphimorphia,Theria
Gray Four-eyed Opossum,Philander_opossum,Philander,Didelphidae,Didelphimorphia,Theria
Pebas Four-eyed Opossum,Philander_pebas,Philander,Didelphidae,Didelphimorphia,Theria
Southern Four-eyed Opossum,Philander_quica,Philander,Didelphidae,Didelphimorphia,Theria
Northern Four-eyed Opossum,Philander_vossi,Philander,Didelphidae,Didelphimorphia,Theria
Adler's Woolly Mouse Opossum,Marmosa_adleri,Marmosa,Didelphidae,Didelphimorphia,Theria
Alston's Woolly Mouse Opossum,Marmosa_alstoni,Marmosa,Didelphidae,Didelphimorphia,Theria
Anderson's Mouse Opossum,Marmosa_andersoni,Marmosa,Didelphidae,Didelphimorphia,Theria
White-bellied Woolly Mouse Opossum,Marmosa_constantiae,Marmosa,Didelphidae,Didelphimorphia,Theria
Northeastern Woolly Mouse Opossum,Marmosa_demerarae,Marmosa,Didelphidae,Didelphimorphia,Theria
Northwestern Woolly Mouse Opossum,Marmosa_germana,Marmosa,Didelphidae,Didelphimorphia,Theria
Panama Mouse Opossum,Marmosa_isthmica,Marmosa,Didelphidae,Didelphimorphia,Theria
Jansa's Woolly Mouse Opossum,Marmosa_jansae,Marmosa,Didelphidae,Didelphimorphia,Theria
Rufous Mouse Opossum,Marmosa_lepida,Marmosa,Didelphidae,Didelphimorphia,Theria
Western Amazonian Mouse Opossum,Marmosa_macrotarsus,Marmosa,Didelphidae,Didelphimorphia,Theria
Mexican Mouse Opossum,Marmosa_mexicana,Marmosa,Didelphidae,Didelphimorphia,Theria
Linnaeus's Mouse Opossum,Marmosa_murina,Marmosa,Didelphidae,Didelphimorphia,Theria
Nicaraguan Woolly Mouse Opossum,Marmosa_nicaraguae,Marmosa,Didelphidae,Didelphimorphia,Theria
Southeastern Woolly Mouse Opossum,Marmosa_paraguayana,Marmosa,Didelphidae,Didelphimorphia,Theria
Peruvian Woolly Mouse Opossum,Marmosa_parda,Marmosa,Didelphidae,Didelphimorphia,Theria
Anthony's Woolly Mouse Opossum,Marmosa_perplexa,Marmosa,Didelphidae,Didelphimorphia,Theria
Little Woolly Mouse Opossum,Marmosa_phaea,Marmosa,Didelphidae,Didelphimorphia,Theria
Bolivian Woolly Mouse Opossum,Marmosa_rapposa,Marmosa,Didelphidae,Didelphimorphia,Theria
Robinson's Mouse Opossum,Marmosa_robinsoni,Marmosa,Didelphidae,Didelphimorphia,Theria
Red Mouse Opossum,Marmosa_rubra,Marmosa,Didelphidae,Didelphimorphia,Theria
Bare-tailed Woolly Mouse Opossum,Marmosa_rutteri,Marmosa,Didelphidae,Didelphimorphia,Theria
Simons's Mouse Opossum,Marmosa_simonsi,Marmosa,Didelphidae,Didelphimorphia,Theria
Tyleria Mouse Opossum,Marmosa_tyleriana,Marmosa,Didelphidae,Didelphimorphia,Theria
Waterhouse's Mouse Opossum,Marmosa_waterhousei,Marmosa,Didelphidae,Didelphimorphia,Theria
Dryland Mouse Opossum,Marmosa_xerophila,Marmosa,Didelphidae,Didelphimorphia,Theria
Zeledon's Mouse Opossum,Marmosa_zeledoni,Marmosa,Didelphidae,Didelphimorphia,Theria
Sepia Short-tailed Opossum,Monodelphis_adusta,Monodelphis,Didelphidae,Didelphimorphia,Theria
Northern Three-striped Opossum,Monodelphis_americana,Monodelphis,Didelphidae,Didelphimorphia,Theria
Arlindo's Short-tailed Opossum,Monodelphis_arlindoi,Monodelphis,Didelphidae,Didelphimorphia,Theria
Guyanan Short-tailed Opossum,Monodelphis_brevicaudata,Monodelphis,Didelphidae,Didelphimorphia,Theria
Orange-sided Opossum,Monodelphis_dimidiata,Monodelphis,Didelphidae,Didelphimorphia,Theria
Gray Short-tailed Opossum,Monodelphis_domestica,Monodelphis,Didelphidae,Didelphimorphia,Theria
Emilie's Short-tailed Opossum,Monodelphis_emiliae,Monodelphis,Didelphidae,Didelphimorphia,Theria
Gardner's Short-tailed Opossum,Monodelphis_gardneri,Monodelphis,Didelphidae,Didelphimorphia,Theria
Amazonian Red-sided Opossum,Monodelphis_glirina,Monodelphis,Didelphidae,Didelphimorphia,Theria
Handley's Short-tailed Opossum,Monodelphis_handleyi,Monodelphis,Didelphidae,Didelphimorphia,Theria
Ihering's Three-striped Opossum,Monodelphis_iheringi,Monodelphis,Didelphidae,Didelphimorphia,Theria
Pygmy Short-tailed Opossum,Monodelphis_kunsi,Monodelphis,Didelphidae,Didelphimorphia,Theria
Osgood's Short-tailed Opossum,Monodelphis_osgoodi,Monodelphis,Didelphidae,Didelphimorphia,Theria
Hooded Red-sided Opossum,Monodelphis_palliolata,Monodelphis,Didelphidae,Didelphimorphia,Theria
Peruvian Short-tailed Opossum,Monodelphis_peruviana,Monodelphis,Didelphidae,Didelphimorphia,Theria
Long-nosed Short-tailed Opossum,Monodelphis_pinocchio,Monodelphis,Didelphidae,Didelphimorphia,Theria
Reig's Opossum,Monodelphis_reigi,Monodelphis,Didelphidae,Didelphimorphia,Theria
Pine's Opossum,Monodelphis_ronaldi,Monodelphis,Didelphidae,Didelphimorphia,Theria
Saci Short-tailed Opossum,Monodelphis_saci,Monodelphis,Didelphidae,Didelphimorphia,Theria
Santa Rosa Short-tailed Opossum,Monodelphis_sanctaerosae,Monodelphis,Didelphidae,Didelphimorphia,Theria
Tawny-headed Opossum,Monodelphis_scalops,Monodelphis,Didelphidae,Didelphimorphia,Theria
Touan Short-tailed Opossum,Monodelphis_touan,Monodelphis,Didelphidae,Didelphimorphia,Theria
Single-striped Opossum,Monodelphis_unistriata,Monodelphis,Didelphidae,Didelphimorphia,Theria
Voss's Short-tailed Opossum,Monodelphis_vossi,Monodelphis,Didelphidae,Didelphimorphia,Theria
Balsas Gray Mouse Opossum,Tlacuatzin_balsasensis,Tlacuatzin,Didelphidae,Didelphimorphia,Theria
Tehuantepec Gray Mouse Opossum,Tlacuatzin_canescens,Tlacuatzin,Didelphidae,Didelphimorphia,Theria
Yucatán Gray Mouse Opossum,Tlacuatzin_gaumeri,Tlacuatzin,Didelphidae,Didelphimorphia,Theria
Tres Marías Gray Mouse Opossum,Tlacuatzin_insularis,Tlacuatzin,Didelphidae,Didelphimorphia,Theria
Northern Gray Mouse Opossum,Tlacuatzin_sinaloae,Tlacuatzin,Didelphidae,Didelphimorphia,Theria
Aritana's Brown Four-eyed Opossum,Metachirus_aritanai,Metachirus,Didelphidae,Didelphimorphia,Theria
Common Brown Four-eyed Opossum,Metachirus_myosuros,Metachirus,Didelphidae,Didelphimorphia,Theria
Guianan Brown Four-eyed Opossum,Metachirus_nudicaudatus,Metachirus,Didelphidae,Didelphimorphia,Theria
Pygmy Opossum,Chacodelphys_formosa,Chacodelphys,Didelphidae,Didelphimorphia,Theria
Agricola's Opossum,Cryptonanus_agricolai,Cryptonanus,Didelphidae,Didelphimorphia,Theria
Chacoan Mouse Opossum,Cryptonanus_chacoensis,Cryptonanus,Didelphidae,Didelphimorphia,Theria
Guaiba Mouse Opossum,Cryptonanus_guahybae,Cryptonanus,Didelphidae,Didelphimorphia,Theria
Unduavi Mouse Opossum,Cryptonanus_unduaviensis,Cryptonanus,Didelphidae,Didelphimorphia,Theria
Aceramarca Opossum,Gracilinanus_aceramarcae,Gracilinanus,Didelphidae,Didelphimorphia,Theria
Agile Opossum,Gracilinanus_agilis,Gracilinanus,Didelphidae,Didelphimorphia,Theria
Wood Sprite Opossum,Gracilinanus_dryas,Gracilinanus,Didelphidae,Didelphimorphia,Theria
Emilie's Opossum,Gracilinanus_emiliae,Gracilinanus,Didelphidae,Didelphimorphia,Theria
Northern Gracile Opossum,Gracilinanus_marica,Gracilinanus,Didelphidae,Didelphimorphia,Theria
Brazilian Gracile Opossum,Gracilinanus_microtarsus,Gracilinanus,Didelphidae,Didelphimorphia,Theria
Peruvian Opossum,Gracilinanus_peruanus,Gracilinanus,Didelphidae,Didelphimorphia,Theria
Patagonian Opossum,Lestodelphys_halli,Lestodelphys,Didelphidae,Didelphimorphia,Theria
Bishop's Slender Opossum,Marmosops_bishopi,Marmosops,Didelphidae,Didelphimorphia,Theria
Carr's Slender Opossum,Marmosops_carri,Marmosops,Didelphidae,Didelphimorphia,Theria
Tschudi's Slender Opossum,Marmosops_caucae,Marmosops,Didelphidae,Didelphimorphia,Theria
Cordillera Slender Opossum,Marmosops_chucha,Marmosops,Didelphidae,Didelphimorphia,Theria
Creighton's Slender Opossum,Marmosops_creightoni,Marmosops,Didelphidae,Didelphimorphia,Theria
Dusky Slender Opossum,Marmosops_fuscatus,Marmosops,Didelphidae,Didelphimorphia,Theria
Handley's Slender Opossum,Marmosops_handleyi,Marmosops,Didelphidae,Didelphimorphia,Theria
Gray Slender Opossum,Marmosops_incanus,Marmosops,Didelphidae,Didelphimorphia,Theria
Panama Slender Opossum,Marmosops_invictus,Marmosops,Didelphidae,Didelphimorphia,Theria
Junin Slender Opossum,Marmosops_juninensis,Marmosops,Didelphidae,Didelphimorphia,Theria
Río Magdalena Slender Opossum,Marmosops_magdalenae,Marmosops,Didelphidae,Didelphimorphia,Theria
Silva's Slender Opossum,Marmosops_marina,Marmosops,Didelphidae,Didelphimorphia,Theria
White-bellied Slender Opossum,Marmosops_noctivagus,Marmosops,Didelphidae,Didelphimorphia,Theria
Spectacled Slender Opossum,Marmosops_ocellatus,Marmosops,Didelphidae,Didelphimorphia,Theria
Ojasti's Slender Opossum,Marmosops_ojastii,Marmosops,Didelphidae,Didelphimorphia,Theria
Pantepui Slender Opossum,Marmosops_pakaraimae,Marmosops,Didelphidae,Didelphimorphia,Theria
Delicate Slender Opossum,Marmosops_parvidens,Marmosops,Didelphidae,Didelphimorphia,Theria
Brazilian Slender Opossum,Marmosops_paulensis,Marmosops,Didelphidae,Didelphimorphia,Theria
Pinheiro's Slender Opossum,Marmosops_pinheiroi,Marmosops,Didelphidae,Didelphimorphia,Theria
Soini's Slender Opossum,Marmosops_soinii,Marmosops,Didelphidae,Didelphimorphia,Theria
Woodall's Slender Opossum,Marmosops_woodalli,Marmosops,Didelphidae,Didelphimorphia,Theria
Elegant Fat-tailed Opossum,Thylamys_elegans,Thylamys,Didelphidae,Didelphimorphia,Theria
Karimi's Fat-tailed Opossum,Thylamys_karimii,Thylamys,Didelphidae,Didelphimorphia,Theria
Paraguayan Fat-tailed Opossum,Thylamys_macrurus,Thylamys,Didelphidae,Didelphimorphia,Theria
Pallid Fat-tailed Opossum,Thylamys_pallidior,Thylamys,Didelphidae,Didelphimorphia,Theria
Chacoan Fat-tailed Opossum,Thylamys_pusillus,Thylamys,Didelphidae,Didelphimorphia,Theria
Argentine Fat-tailed Opossum,Thylamys_sponsorius,Thylamys,Didelphidae,Didelphimorphia,Theria
Tate's Fat-tailed Opossum,Thylamys_tatei,Thylamys,Didelphidae,Didelphimorphia,Theria
Dwarf Fat-tailed Opossum,Thylamys_velutinus,Thylamys,Didelphidae,Didelphimorphia,Theria
Buff-bellied Fat-tailed Opossum,Thylamys_venustus,Thylamys,Didelphidae,Didelphimorphia,Theria
Bushy-tailed Opossum,Glironia_venusta,Glironia,Didelphidae,Didelphimorphia,Theria
Kalinowski's Opossum,Hyladelphys_kalinowskii,Hyladelphys,Didelphidae,Didelphimorphia,Theria
Pancho's Monito del Monte,Dromiciops_bozinovici,Dromiciops,Microbiotheriidae,Microbiotheria,Theria
Southern Monito del Monte,Dromiciops_gliroides,Dromiciops,Microbiotheriidae,Microbiotheria,Theria
Northwestern Marsupial Mole,Notoryctes_caurinus,Notoryctes,Notoryctidae,Notoryctemorphia,Theria
Central Desert Marsupial Mole,Notoryctes_typhlops,Notoryctes,Notoryctidae,Notoryctemorphia,Theria
Southern Mulgara,Dasycercus_archeri,Dasycercus,Dasyuridae,Dasyuromorphia,Theria
Spinifex Mulgara,Dasycercus_blythi,Dasycercus,Dasyuridae,Dasyuromorphia,Theria
Crest-tailed Mulgara,Dasycercus_cristicauda,Dasycercus,Dasyuridae,Dasyuromorphia,Theria
Ampurta,Dasycercus_hillieri,Dasycercus,Dasyuridae,Dasyuromorphia,Theria
Little Mulgara,Dasycercus_marlowi,Dasycercus,Dasyuridae,Dasyuromorphia,Theria
Northern Mulgara,Dasycercus_woolleyae,Dasycercus,Dasyuridae,Dasyuromorphia,Theria
Kaluta,Dasykaluta_rosamondae,Dasykaluta,Dasyuridae,Dasyuromorphia,Theria
Kowari,Dasyuroides_byrnei,Dasyuroides,Dasyuridae,Dasyuromorphia,Theria
New Guinea Quoll,Dasyurus_albopunctatus,Dasyurus,Dasyuridae,Dasyuromorphia,Theria
Western Quoll,Dasyurus_geoffroii,Dasyurus,Dasyuridae,Dasyuromorphia,Theria
Northern Quoll,Dasyurus_hallucatus,Dasyurus,Dasyuridae,Dasyuromorphia,Theria
Spotted-tailed Quoll,Dasyurus_maculatus,Dasyurus,Dasyuridae,Dasyuromorphia,Theria
Bronze Quoll,Dasyurus_spartacus,Dasyurus,Dasyuridae,Dasyuromorphia,Theria
Eastern Quoll,Dasyurus_viverrinus,Dasyurus,Dasyuridae,Dasyuromorphia,Theria
Woolley's Three-striped Dasyure,Myoictis_leucura,Myoictis,Dasyuridae,Dasyuromorphia,Theria
Müller's Three-striped Dasyure,Myoictis_melas,Myoictis,Dasyuridae,Dasyuromorphia,Theria
Wallace's Three-striped Dasyure,Myoictis_wallacii,Myoictis,Dasyuridae,Dasyuromorphia,Theria
Tate's Three-striped Dasyure,Myoictis_wavica,Myoictis,Dasyuridae,Dasyuromorphia,Theria
Speckled Dasyure,Neophascogale_lorentzii,Neophascogale,Dasyuridae,Dasyuromorphia,Theria
Dibbler,Parantechinus_apicalis,Parantechinus,Dasyuridae,Dasyuromorphia,Theria
Red-bellied Phascogale,Phascolosorex_doriae,Phascolosorex,Dasyuridae,Dasyuromorphia,Theria
Narrow-striped Dasyure,Phascolosorex_dorsalis,Phascolosorex,Dasyuridae,Dasyuromorphia,Theria
Sandstone Pseudantechinus,Pseudantechinus_bilarni,Pseudantechinus,Dasyuridae,Dasyuromorphia,Theria
Fat-tailed Pseudantechinus,Pseudantechinus_macdonnellensis,Pseudantechinus,Dasyuridae,Dasyuromorphia,Theria
Carpentarian Pseudantechinus,Pseudantechinus_mimulus,Pseudantechinus,Dasyuridae,Dasyuromorphia,Theria
Ningbing Pseudantechinus,Pseudantechinus_ningbing,Pseudantechinus,Dasyuridae,Dasyuromorphia,Theria
Woolley's Pseudantechinus,Pseudantechinus_woolleyae,Pseudantechinus,Dasyuridae,Dasyuromorphia,Theria
Tasmanian Devil,Sarcophilus_harrisii,Sarcophilus,Dasyuridae,Dasyuromorphia,Theria
Rusty Antechinus,Antechinus_adustus,Antechinus,Dasyuridae,Dasyuromorphia,Theria
Agile Antechinus,Antechinus_agilis,Antechinus,Dasyuridae,Dasyuromorphia,Theria
Silver-headed Antechinus,Antechinus_argentus,Antechinus,Dasyuridae,Dasyuromorphia,Theria
Black-tailed Antechinus,Antechinus_arktos,Antechinus,Dasyuridae,Dasyuromorphia,Theria
Fawn Antechinus,Antechinus_bellus,Antechinus,Dasyuridae,Dasyuromorphia,Theria
Yellow-footed Antechinus,Antechinus_flavipes,Antechinus,Dasyuridae,Dasyuromorphia,Theria
Atherton Antechinus,Antechinus_godmani,Antechinus,Dasyuridae,Dasyuromorphia,Theria
Cinnamon Antechinus,Antechinus_leo,Antechinus,Dasyuridae,Dasyuromorphia,Theria
Mainland Dusky Antechinus,Antechinus_mimetes,Antechinus,Dasyuridae,Dasyuromorphia,Theria
Swamp Antechinus,Antechinus_minimus,Antechinus,Dasyuridae,Dasyuromorphia,Theria
Buff-footed Antechinus,Antechinus_mysticus,Antechinus,Dasyuridae,Dasyuromorphia,Theria
Brown Antechinus,Antechinus_stuartii,Antechinus,Dasyuridae,Dasyuromorphia,Theria
Subtropical Antechinus,Antechinus_subtropicus,Antechinus,Dasyuridae,Dasyuromorphia,Theria
Tasmanian Dusky Antechinus,Antechinus_swainsonii,Antechinus,Dasyuridae,Dasyuromorphia,Theria
Tasman Peninsula Dusky Antechinus,Antechinus_vandycki,Antechinus,Dasyuridae,Dasyuromorphia,Theria
Southern Short-furred Dasyure,Murexia_aspera,Murexia,Dasyuridae,Dasyuromorphia,Theria
Habbema Dasyure,Murexia_habbema,Murexia,Dasyuridae,Dasyuromorphia,Theria
Aru Short-furred Dasyure,Murexia_longicaudata,Murexia,Dasyuridae,Dasyuromorphia,Theria
Northern Short-furred Dasyure,Murexia_maxima,Murexia,Dasyuridae,Dasyuromorphia,Theria
Black-tailed Dasyure,Murexia_melanura,Murexia,Dasyuridae,Dasyuromorphia,Theria
Eastern Short-furred Dasyure,Murexia_murex,Murexia,Dasyuridae,Dasyuromorphia,Theria
Western Long-nosed Dasyure,Murexia_naso,Murexia,Dasyuridae,Dasyuromorphia,Theria
Broad-striped Dasyure,Murexia_rothschildi,Murexia,Dasyuridae,Dasyuromorphia,Theria
Eastern Long-nosed Dasyure,Murexia_tafa,Murexia,Dasyuridae,Dasyuromorphia,Theria
Lesser Dasyure,Murexia_wilhelmina,Murexia,Dasyuridae,Dasyuromorphia,Theria
Red-tailed Phascogale,Phascogale_calurus,Phascogale,Dasyuridae,Dasyuromorphia,Theria
Northern Brush-tailed Phascogale,Phascogale_pirata,Phascogale,Dasyuridae,Dasyuromorphia,Theria
Common Brush-tailed Phascogale,Phascogale_tapoatafa,Phascogale,Dasyuridae,Dasyuromorphia,Theria
Giles's Planigale,Planigale_gilesi,Planigale,Dasyuridae,Dasyuromorphia,Theria
Long-tailed Planigale,Planigale_ingrami,Planigale,Dasyuridae,Dasyuromorphia,Theria
Orange-headed Pilbara Planigale,Planigale_kendricki,Planigale,Dasyuridae,Dasyuromorphia,Theria
Common Planigale,Planigale_maculata,Planigale,Dasyuridae,Dasyuromorphia,Theria
Papuan Planigale,Planigale_novaeguineae,Planigale,Dasyuridae,Dasyuromorphia,Theria
Cracking-clay Pilbara Planigale,Planigale_tealei,Planigale,Dasyuridae,Dasyuromorphia,Theria
Narrow-nosed Planigale,Planigale_tenuirostris,Planigale,Dasyuridae,Dasyuromorphia,Theria
Kultarr,Antechinomys_laniger,Antechinomys,Dasyuridae,Dasyuromorphia,Theria
Greater Long-tailed Dunnart,Antechinomys_longicaudatus,Antechinomys,Dasyuridae,Dasyuromorphia,Theria
Wongai Ningaui,Ningaui_ridei,Ningaui,Dasyuridae,Dasyuromorphia,Theria
Pilbara Ningaui,Ningaui_timealeyi,Ningaui,Dasyuridae,Dasyuromorphia,Theria
Southern Ningaui,Ningaui_yvonneae,Ningaui,Dasyuridae,Dasyuromorphia,Theria
Chestnut Dunnart,Sminthopsis_archeri,Sminthopsis,Dasyuridae,Dasyuromorphia,Theria
Kakadu Dunnart,Sminthopsis_bindi,Sminthopsis,Dasyuridae,Dasyuromorphia,Theria
Butler's Dunnart,Sminthopsis_butleri,Sminthopsis,Dasyuridae,Dasyuromorphia,Theria
Fat-tailed Dunnart,Sminthopsis_crassicaudata,Sminthopsis,Dasyuridae,Dasyuromorphia,Theria
Little Long-tailed Dunnart,Sminthopsis_dolichura,Sminthopsis,Dasyuridae,Dasyuromorphia,Theria
Julia Creek Dunnart,Sminthopsis_douglasi,Sminthopsis,Dasyuridae,Dasyuromorphia,Theria
Froggatt's Dunnart,Sminthopsis_froggatti,Sminthopsis,Dasyuridae,Dasyuromorphia,Theria
Gray-bellied Dunnart,Sminthopsis_fuliginosa,Sminthopsis,Dasyuridae,Dasyuromorphia,Theria
Gilbert's Dunnart,Sminthopsis_gilberti,Sminthopsis,Dasyuridae,Dasyuromorphia,Theria
White-tailed Dunnart,Sminthopsis_granulipes,Sminthopsis,Dasyuridae,Dasyuromorphia,Theria
Greater Hairy-footed Dunnart,Sminthopsis_hirtipes,Sminthopsis,Dasyuridae,Dasyuromorphia,Theria
White-footed Dunnart,Sminthopsis_leucopus,Sminthopsis,Dasyuridae,Dasyuromorphia,Theria
Stripe-faced Dunnart,Sminthopsis_macroura,Sminthopsis,Dasyuridae,Dasyuromorphia,Theria
Common Dunnart,Sminthopsis_murina,Sminthopsis,Dasyuridae,Dasyuromorphia,Theria
Western Red-cheeked Dunnart,Sminthopsis_nitela,Sminthopsis,Dasyuridae,Dasyuromorphia,Theria
Ooldea Dunnart,Sminthopsis_ooldea,Sminthopsis,Dasyuridae,Dasyuromorphia,Theria
Sandhill Dunnart,Sminthopsis_psammophila,Sminthopsis,Dasyuridae,Dasyuromorphia,Theria
Stalker's Dunnart,Sminthopsis_stalkeri,Sminthopsis,Dasyuridae,Dasyuromorphia,Theria
Eastern Red-cheeked Dunnart,Sminthopsis_virginiae,Sminthopsis,Dasyuridae,Dasyuromorphia,Theria
Lesser Hairy-footed Dunnart,Sminthopsis_youngsoni,Sminthopsis,Dasyuridae,Dasyuromorphia,Theria
Numbat,Myrmecobius_fasciatus,Myrmecobius,Myrmecobiidae,Dasyuromorphia,Theria
Thylacine,Thylacinus_cynocephalus,Thylacinus,Thylacinidae,Dasyuromorphia,Theria
Southern Pig-footed Bandicoot,Chaeropus_ecaudatus,Chaeropus,Chaeropodidae,Peramelemorphia,Theria
Northern Pig-footed Bandicoot,Chaeropus_yirratji,Chaeropus,Chaeropodidae,Peramelemorphia,Theria
Clara's Spiny Bandicoot,Echymipera_clara,Echymipera,Peramelidae,Peramelemorphia,Theria
David's Spiny Bandicoot,Echymipera_davidi,Echymipera,Peramelidae,Peramelemorphia,Theria
Menzies's Spiny Bandicoot,Echymipera_echinista,Echymipera,Peramelidae,Peramelemorphia,Theria
Common Spiny Bandicoot,Echymipera_kalubu,Echymipera,Peramelidae,Peramelemorphia,Theria
Long-nosed Spiny Bandicoot,Echymipera_rufescens,Echymipera,Peramelidae,Peramelemorphia,Theria
Arfak Pygmy Bandicoot,Microperoryctes_aplini,Microperoryctes,Peramelidae,Peramelemorphia,Theria
Long-tailed Bandicoot,Microperoryctes_longicauda,Microperoryctes,Peramelidae,Peramelemorphia,Theria
Mouse Bandicoot,Microperoryctes_murinus,Microperoryctes,Peramelidae,Peramelemorphia,Theria
Striped Bandicoot,Microperoryctes_ornatus,Microperoryctes,Peramelidae,Peramelemorphia,Theria
Papuan Bandicoot,Microperoryctes_papuensis,Microperoryctes,Peramelidae,Peramelemorphia,Theria
Seram Bandicoot,Rhynchomeles_prattorum,Rhynchomeles,Peramelidae,Peramelemorphia,Theria
Golden Bandicoot,Isoodon_auratus,Isoodon,Peramelidae,Peramelemorphia,Theria
Western Brown Bandicoot,Isoodon_fusciventer,Isoodon,Peramelidae,Peramelemorphia,Theria
Northern Brown Bandicoot,Isoodon_macrourus,Isoodon,Peramelidae,Peramelemorphia,Theria
Southern Brown Bandicoot,Isoodon_obesulus,Isoodon,Peramelidae,Peramelemorphia,Theria
Cape York Brown Bandicoot,Isoodon_peninsulae,Isoodon,Peramelidae,Peramelemorphia,Theria
Western Barred Bandicoot,Perameles_bougainville,Perameles,Peramelidae,Peramelemorphia,Theria
Desert Bandicoot,Perameles_eremiana,Perameles,Peramelidae,Peramelemorphia,Theria
New South Wales Barred Bandicoot,Perameles_fasciata,Perameles,Peramelidae,Peramelemorphia,Theria
Eastern Barred Bandicoot,Perameles_gunnii,Perameles,Peramelidae,Peramelemorphia,Theria
Southwestern Barred Bandicoot,Perameles_myosuros,Perameles,Peramelidae,Peramelemorphia,Theria
Long-nosed Bandicoot,Perameles_nasuta,Perameles,Peramelidae,Peramelemorphia,Theria
Southern Barred Bandicoot,Perameles_notina,Perameles,Peramelidae,Peramelemorphia,Theria
Queensland Barred Bandicoot,Perameles_pallescens,Perameles,Peramelidae,Peramelemorphia,Theria
Ooldea Barred Bandicoot,Perameles_papillon,Perameles,Peramelidae,Peramelemorphia,Theria
Giant Bandicoot,Peroryctes_broadbentii,Peroryctes,Peramelidae,Peramelemorphia,Theria
Raffray's Bandicoot,Peroryctes_raffrayanus,Peroryctes,Peramelidae,Peramelemorphia,Theria
Greater Bilby,Macrotis_lagotis,Macrotis,Thylacomyidae,Peramelemorphia,Theria
Lesser Bilby,Macrotis_leucura,Macrotis,Thylacomyidae,Peramelemorphia,Theria
Musky Rat Kangaroo,Hypsiprymnodon_moschatus,Hypsiprymnodon,Hypsiprymnodontidae,Diprotodontia,Theria
Banded Hare Wallaby,Lagostrophus_fasciatus,Lagostrophus,Macropodidae,Diprotodontia,Theria
Bennett's Tree Kangaroo,Dendrolagus_bennettianus,Dendrolagus,Macropodidae,Diprotodontia,Theria
Doria's Tree Kangaroo,Dendrolagus_dorianus,Dendrolagus,Macropodidae,Diprotodontia,Theria
